pair_id;participant_id;role;song_rank;artist;track_title;Track URI;Danceability;Energy;Valence;Tempo;Acousticness;Loudness;Instrumentalness;Speechiness;Liveness;Key;Mode;Time Signature
khanh69;khanh69_parent;parent;song_2;Shakira;Waka Waka (This Time for Africa) - K-Mix;;0.71;871.0;829.0;126.957;0.0116;-5.037;3E-06;0.0503;108.0;9.0;1.0;4.0
ktc999;ktc999_child;child;song_2;Spandau Ballet;Gold;spotify:track:2X9fsxb6O6bYEopJYmUbNC;711.0;0.74;639.0;143.053;258.0;-7.776;0.0111;0.0361;104.0;10.0;0.0;4.0
ktc999;ktc999_parent;parent;song_2;Pearl Jam;Come Back;spotify:track:0sHdUji2tWxiRDfShSWHUN;296.0;563.0;267.0;167.412;0.0936;-5.58;5.93e-05;29.0;116.0;5.0;1.0;3.0
lephamily;lephamily_child;child;song_2;Sabrina Carpenter;Goodbye;spotify:track:4tVVmShMF2PYdLqcejrsy2;567.0;616.0;523.0;120.121;185.0;-5.871;0.0;0.0483;101.0;9.0;1.0;4.0
lephamily;lephamily_parent;parent;song_2;Marcia Ferreira;Chorando Se Foi;;799.0;718.0;973.0;114.974;445.0;-9.064;0.00115;0.0283;118.0;2.0;0.0;4.0
ltc999;ltc999_child;child;song_2;Modern Talking;Wild wild water;spotify:track:4Fp443SLWjGl6qntbeYife;661.0;442.0;584.0;96.358;399.0;-15.525;0.0209;0.0292;135.0;6.0;0.0;4.0
ltc999;ltc999_parent;parent;song_2;Pearl Jam;Come Back;spotify:track:0sHdUji2tWxiRDfShSWHUN;296.0;563.0;267.0;167.412;0.0936;-5.58;5.93e-05;29.0;116.0;5.0;1.0;3.0
Mooieollie;Mooieollie_child;child;song_2;Shawn Mendes;Perfectly wrong;spotify:track:6nat4Z7iRKWVk1qngQqI0Q;361.0;311.0;323.0;89.362;873.0;-11.748;0.0;0.0369;0.0987;2.0;0.0;4.0
Mooieollie;Mooieollie_parent;parent;song_2;Kensington;Uncharted;spotify:track:1OJcaSbK9DBaxHExACplwA;594.0;527.0;226.0;138.956;0.14;-6.805;0.0;0.0308;294.0;10.0;1.0;4.0
Ngan123;Ngan123_child;child;song_2;BTS;Dynamite;spotify:track:5QDLhrAOJJdNAmCTJ8xMyW;746.0;765.0;737.0;114.044;0.0112;-4.41;0.0;0.0993;0.0936;6.0;0.0;4.0
Ngan123;Ngan123_parent;parent;song_2;Yuko;"Golden (""K-POP Demon Hunters"")";;725.0;658.0;108.0;122.7;248.0;-5.362;1.63e-05;0.0779;513.0;7.0;1.0;4.0
Nils567;Nils567_child;child;song_2;Jeff Buckley;Lover, you should’ve come over;;387;595;151;119.38;361;-5.67;0.000011;0.0389;174.0;2.0;1.0;3.0
Nils567;Nils567_parent;parent;song_2;james;Get away with it;;285;0.0826;144;145.846;68;-19.301;0.000591;0.0343;107.0;5.0;1.0;4.0
ptc999;ptc999_child;child;song_2;Marilyn Manson;The Dope Show;spotify:track:1KQxH1Z1BiSo3MMukVpRfl;562.0;671.0;376.0;134.962;8.73e-06;-7.801;0.000491;0.0379;792.0;4.0;0.0;4.0
ptc999;ptc999_parent;parent;song_2;Pearl Jam;Come Back;spotify:track:0sHdUji2tWxiRDfShSWHUN;296.0;563.0;267.0;167.412;0.0936;-5.58;5.93e-05;29.0;116.0;5.0;1.0;3.0
rtfswrr3544;rtfswrr3544_child;child;song_2;Trio Mocoto;Não adianta;spotify:track:7rud54XCjLv3AQbaUAtxU1;484.0;0.81;422.0;144.454;626.0;-4.579;0.000283;0.0377;0.11;7.0;0.0;4.0
rtfswrr3544;rtfswrr3544_parent;parent;song_2;Stan Getz, João Gilberto, Antônio Carlos Jobim;The Girl From Ipanema;;656.0;191.0;373.0;129.849;908.0;-16.905;0.00084;0.0414;117.0;5.0;0.0;4.0
uitgeest1911;uitgeest1911_child;child;song_2;Nemzzz;STAR SIGN;;859.0;584.0;0.39;150.019;0.0317;-9.051;0.0;324.0;0.3;1.0;0.0;4.0
uitgeest1911;uitgeest1911_parent;parent;song_2;The Verve;Bitter Sweet Symphony;spotify:track:1WYEDcS7WGjv0rG7rmMX3o;356.0;913.0;537.0;171.157;0.0339;-6.015;0.0;0.0499;221.0;9.0;1.0;4.0
uva104;uva104_child;child;song_2;VSTRA, Tyronee;Ai Ngoài Anh;;783.0;675.0;616.0;100.014;562.0;-6.748;0.0;0.0288;287.0;5.0;0.0;4.0
uva104;uva104_parent;parent;song_2;Lệ Quyên, Lam Phương;Thành Phố Buồn;;411.0;443.0;394.0;177.034;802.0;-6.06;4.79e-06;0.0398;361.0;11.0;0.0;3.0
vds975;vds975_child;child;song_2;Everybody Wants To Rule The World;Tears For Fears;;645;795;535;112.067;347;-12.095;0.00389;0.0527;104.0;7.0;1.0;4.0
vds975;vds975_parent;parent;song_2;Racoon;Oceaan;;0.51;313.0;211.0;96.467;0.87;-8.961;0.0;0.0406;108.0;9.0;1.0;4.0
vy128;vy128_child;child;song_2;The Notations;What More Can I Say;spotify:track:1PHPODXYdkxmU9nkrqLd8y;477.0;391.0;673.0;134.949;275.0;-10.015;0.000127;0.0262;158.0;5.0;1.0;4.0
vy128;vy128_parent;parent;song_2;ABBA;Happy New Year;spotify:track:4AsvGVDWs16fqIiIdDzyvX;0.51;375.0;0.25;132.552;813.0;-9.185;0.0;0.0288;145.0;9.0;1.0;4.0
xyz579;xyz579_child;child;song_2;La Dispute;Such Small Hands;spotify:track:31Hx0pInhn2tSq5gdhWv0d;631.0;728.0;295.0;80.003;226.0;-5.185;0.00118;0.0748;0.0682;9.0;0.0;4.0
xyz579;xyz579_parent;parent;song_2;Miles Davis;All Blues;spotify:track:0tYgqYrAgGTyi5GhYKsIkP;498.0;201.0;366.0;139.299;779.0;-16.266;0.00454;31.0;0.0718;0.0;1.0;3.0
47KL;47KL_child;child;song_3;Deftones;Digital Bath;spotify:track:2jSJm3Gv6GLxduWLenmjKS;338.0;859.0;504.0;92.966;0.00122;-4.938;211.0;0.0824;0.0936;4.0;0.0;4.0
47KL;47KL_parent;parent;song_3;Meat Loaf;Paradise by the Dashboard Light;spotify:track:2g7gviEeJr6pyxO7G35EWQ;326.0;872.0;492.0;173.381;214.0;-7.602;0.0;122.0;461.0;2.0;1.0;4.0
abc222;abc222_child;child;song_3;Manchester Orchestra;Play It Again, Sam! You Don't Have Any Feathers;;741.0;149.0;344.0;94.987;964.0;-15.834;0.00135;0.0331;157.0;9.0;1.0;4.0
abc222;abc222_parent;parent;song_3;Queen;Don't Stop Me Now;;465;917;403;155.02;0.0152;-6.335;0.0187;237.0;286.0;5.0;1.0;4.0
ADH677;ADH677_child;child;song_3;Dj Mad Dog;Verzerrung;;525.0;992.0;126.0;155.025;9.92e-05;-3.692;651.0;0.31;0.0576;1.0;1.0;4.0
ADH677;ADH677_parent;parent;song_3;La Dispute;Andria;spotify:track:4CvejJIsZNEzxrTGm6FoX9;334.0;0.86;301.0;187.334;0.0458;-3.974;0.0;221.0;236.0;9.0;0.0;5.0
Adr312;Adr312_child;child;song_3;The Stranglers;Golden Brown;spotify:track:2AX5E86cn9n2dgioZEjirI;562.0;383.0;599.0;93.764;143.0;-15.474;124.0;0.0304;138.0;6.0;1.0;3.0
Adr312;Adr312_parent;parent;song_3;Spandau Ballet;Gold;spotify:track:2X9fsxb6O6bYEopJYmUbNC;711.0;0.74;639.0;143.053;258.0;-7.776;0.0111;0.0361;104.0;10.0;0.0;4.0
